,filename,result_50_features,distance_50_features,time_50_features,result_100_features,distance_100_features,time_100_features,result_200_features,distance_200_features,time_200_features,result_300_features,distance_300_features,time_300_features
120,20190217_101628.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
121,20190203_111010.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
122,20190203_111004.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
123,20190217_110916.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
124,20190217_102651.jpg,"['zaal_1__IMG_20190323_111749__05.png', 'zaal_19__IMG_20190323_121434__09.png']","[1319.0, 1334.0]","[0.2404085000000009, 0.24358724999999026]","['zaal_17__IMG_20190323_120524__01.png', 'zaal_17__IMG_20190323_120515__01.png']","[454.0, 959.0]","[0.27630216699992616, 0.27521066600002086]","['zaal_17__IMG_20190323_120524__01.png', 'zaal_17__IMG_20190323_120515__01.png']","[374.0, 667.0]","[0.40216241699999955, 0.40309191599999394]","['zaal_17__IMG_20190323_120524__01.png', 'zaal_17__IMG_20190323_120515__01.png']","[324.0, 559.0]","[0.5358797500000492, 0.5230743339998298]"
125,20190217_102255.jpg,"['zaal_S__IMG_20190323_123004__01.png', 'zaal_19__IMG_20190323_121622__01.png']","[535.0, 1349.0]","[0.247722207999999, 0.257188124999999]","['zaal_S__IMG_20190323_123004__01.png', 'zaal_19__IMG_20190323_121545__08.png']","[252.0, 1032.0]","[0.2807774169999675, 0.2952937080000311]","['zaal_S__IMG_20190323_123004__01.png', 'zaal_19__IMG_20190323_121545__08.png']","[198.0, 857.0]","[0.41117754200001855, 0.43056783400004406]","['zaal_S__IMG_20190323_123004__01.png', 'zaal_19__IMG_20190323_121545__10.png']","[189.0, 761.0]","[0.5176267080000798, 0.5390354579999439]"
126,20190203_110858.jpg,['zaal_S__IMG_20190323_122850__01.png'],[1026.0],[0.24560725000000616],['zaal_S__IMG_20190323_122850__01.png'],[530.0],[0.2798152080000591],['zaal_S__IMG_20190323_122850__01.png'],[424.0],[0.40165862499998184],['zaal_S__IMG_20190323_122850__01.png'],[339.0],[0.5400852909999685]
127,20190217_101826.jpg,['Zaal_M__20190323_123223__01.png'],[447.0],[0.24562174999999797],['Zaal_M__20190323_123223__01.png'],[388.0],[0.27840025000000423],['Zaal_M__20190323_123223__01.png'],[337.0],[0.4032599580000351],['Zaal_M__20190323_123223__01.png'],[331.0],[0.5277981659999114]
128,20190217_102450.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
129,20190203_110443.jpg,[],[],[0.24676970799998799],['Zaal_B__20190323_112228__01.png'],[350.0],[0.2792112920000136],['Zaal_B__20190323_112228__01.png'],[227.0],[0.41019583299998885],['Zaal_B__20190323_112228__01.png'],[217.0],[0.5320797909998873]
130,20190217_101818.jpg,['Zaal_M__20190323_123223__01.png'],[573.0],[0.24156158399998162],['Zaal_M__20190323_123223__01.png'],[480.0],[0.2798778339999899],['Zaal_M__20190323_123223__01.png'],[405.0],[0.4057855419999896],['Zaal_M__20190323_123223__01.png'],[378.0],[0.5386114579998775]
131,20190217_103558.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
132,20190217_102108.jpg,"['zaal_S__IMG_20190323_122542__01.png', 'zaal_S__IMG_20190323_122727__01.png']","[1437.0, 1072.0]","[0.23473154100000215, 0.23874658299999396, 0.24274520800000232, 0.21798012499999686, 0.2381370420000053, 0.23932862499998464, 0.23080658399999265, 0.2133286250000026]","['zaal_S__IMG_20190323_122720__07.png', 'zaal_19__IMG_20190323_121049__01.png', 'Zaal_L__20190323_122614__02.png', 'zaal_S__IMG_20190323_122720__08.png', 'zaal_S__IMG_20190323_122720__06.png', 'zaal_S__IMG_20190323_122709__06.png']","[956.0, 1010.0, 911.0, 998.0, 764.0, 931.0]","[0.26898645899996154, 0.27298304199996437, 0.2769739999999956, 0.23476433300004373, 0.2633131250000815, 0.27373945799990906, 0.2569330420000142, 0.2183383330000197]","['zaal_S__IMG_20190323_122720__07.png', 'zaal_19__IMG_20190323_121049__01.png', 'Zaal_C__20190323_112836__12.png', 'zaal_S__IMG_20190323_122720__08.png', 'Zaal_C__20190323_112836__10.png', 'zaal_S__IMG_20190323_122709__06.png']","[796.0, 794.0, 668.0, 770.0, 646.0, 762.0]","[0.3296698329999117, 0.3969480419999627, 0.40397133300007226, 0.255665625000006, 0.32812204099991504, 0.39894125000000713, 0.31045237500006806, 0.22272270799999205]","['zaal_S__IMG_20190323_122720__07.png', 'zaal_19__IMG_20190323_121049__01.png', 'Zaal_C__20190323_112909__04.png', 'zaal_S__IMG_20190323_122720__08.png', 'Zaal_C__20190323_112836__10.png', 'zaal_S__IMG_20190323_122709__06.png']","[727.0, 740.0, 592.0, 727.0, 602.0, 749.0]","[0.38742887499984136, 0.5319070409998403, 0.5156209579999995, 0.2776751249998597, 0.3791186249998191, 0.5184529999999086, 0.36961829200004104, 0.23942312500003027]"
133,20190217_112521.jpg,['zaal_15__IMG_20190323_120304__01.png'],[455.0],[0.2502571670000009],['zaal_15__IMG_20190323_120304__01.png'],[346.0],[0.2772555830000556],['zaal_15__IMG_20190323_120304__01.png'],[323.0],[0.38887099999999464],['zaal_15__IMG_20190323_120304__01.png'],[295.0],[0.5275622910000948]
134,20190217_113617.jpg,['Zaal_E__20190323_115435__01.png'],[353.0],[0.24048712500001557],['Zaal_E__20190323_115435__01.png'],[292.0],[0.28831908300003306],['Zaal_E__20190323_115435__01.png'],[233.0],[0.40713275000007343],['Zaal_E__20190323_115435__01.png'],[200.0],[0.5492590000001201]
135,20190203_110906.jpg,['zaal_S__IMG_20190323_122859__01.png'],[787.0],[0.24167095799998606],['zaal_S__IMG_20190323_122859__01.png'],[455.0],[0.28175050000004376],['zaal_S__IMG_20190323_122859__01.png'],[359.0],[0.4068491670000185],['zaal_S__IMG_20190323_122859__01.png'],[329.0],[0.5414667499999268]
136,20190217_105505.jpg,['zaal_S__IMG_20190323_122709__07.png'],[1198.0],[0.2471758750000106],['zaal_S__IMG_20190323_122709__07.png'],[639.0],[0.27941354099993987],['zaal_S__IMG_20190323_122709__07.png'],[506.0],[0.40288700000007793],['zaal_S__IMG_20190323_122709__07.png'],[462.0],[0.5392603330001293]
137,20190203_110244.jpg,['Zaal_D__20190323_113949__01.png'],[447.0],[0.24347754199999372],['Zaal_D__20190323_113949__01.png'],[258.0],[0.2756216669999958],['Zaal_D__20190323_113949__01.png'],[207.0],[0.404481541999985],['Zaal_D__20190323_113949__01.png'],[182.0],[0.5060167920000822]
138,20190217_105909.jpg,['zaal_P__IMG_20190323_123615__01.png'],[1428.0],[0.24369541700002628],['Zaal_B__20190323_112638__01.png'],[1064.0],[0.2725894169999492],['Zaal_M__20190323_123208__01.png'],[820.0],[0.3694423330000518],['Zaal_M__20190323_123208__01.png'],[799.0],[0.41392154199979814]
139,20190217_101548.jpg,['zaal_19__IMG_20190323_121333__04.png'],[1390.0],[0.23995758300000603],['Zaal_C__20190323_112836__12.png'],[1104.0],[0.28667699999994056],['Zaal_G__20190323_120406__01.png'],[795.0],[0.4026619999999639],['Zaal_G__20190323_120406__01.png'],[482.0],[0.5298218750001524]
140,20190217_110323.jpg,[],[],[],[],[],[],[],[],[],[],[],[]
