id,keypoints
zaal_19__IMG_20190323_121622__09.png,"[((806.5866088867188, 109.89044952392578), 2.846489667892456, 267.889404296875, 0.08077199757099152, 16581375, -1), ((806.5866088867188, 109.89044952392578), 2.846489667892456, 84.30776977539062, 0.08077199757099152, 16581375, -1)]"
zaal_S__IMG_20190323_122944__04.png,"[((56.15470504760742, 101.64873504638672), 10.52707290649414, 260.4386291503906, 0.08770396560430527, 10945025, -1), ((48.71229553222656, 222.8240203857422), 2.6716840267181396, 32.43292236328125, 0.08636409044265747, 11993855, -1), ((48.71229553222656, 222.8240203857422), 2.6716840267181396, 260.2994384765625, 0.08636409044265747, 11993855, -1)]"
zaal_19__IMG_20190323_121523__04.png,"[((10.123719215393066, 221.46339416503906), 2.785033941268921, 4.1025390625, 0.07393459230661392, 15008511, -1), ((10.123719215393066, 221.46339416503906), 2.785033941268921, 91.9490966796875, 0.07393459230661392, 15008511, -1)]"
zaal_19__IMG_20190323_121523__10.png,"[((15.84891414642334, 499.771728515625), 2.506808042526245, 249.58914184570312, 0.08480355888605118, 7406335, -1), ((15.84891414642334, 499.771728515625), 2.506808042526245, 67.3511962890625, 0.08480355888605118, 7406335, -1)]"
zaal_S__IMG_20190323_122748__01.png,"[((433.0269470214844, 1873.720458984375), 3.009892702102661, 219.07595825195312, 0.0704134851694107, 3933183, -1), ((433.0269470214844, 1873.720458984375), 3.009892702102661, 25.830810546875, 0.0704134851694107, 3933183, -1)]"
zaal_15__IMG_20190323_115551__01.png,"[((1701.8404541015625, 327.1450500488281), 13.226256370544434, 1.5218505859375, 0.040761496871709824, 10748673, -1), ((1415.9605712890625, 799.7101440429688), 13.657282829284668, 97.796142578125, 0.03729259595274925, 13042433, -1)]"
