,filename,result_euclidean,distance_euclidean,second_distance_euclidean,time_euclidean,result_cityblock,distance_cityblock,second_distance_cityblock,time_cityblock,result_minkowski,distance_minkowski,second_distance_minkowski,time_minkowski,result_chebyshev,distance_chebyshev,second_distance_chebyshev,time_chebyshev,result_cosine,distance_cosine,second_distance_cosine,time_cosine,result_jaccard,distance_jaccard,second_distance_jaccard,time_jaccard
198,IMG_20190323_112045.jpg,"[""zaal_2__IMG_20190323_112045__01.png""]",[36.240753173828125],[60.61520004272461],[0.06003699999999412],"[""zaal_2__IMG_20190323_112045__01.png""]",[1144.06982421875],[2031.556640625],[0.05187379099999134],"[""zaal_2__IMG_20190323_112045__01.png""]",[36.240753173828125],[60.61520004272461],[0.05179483399999185],"[""zaal_2__IMG_20190323_112045__01.png""]",[3.321958065032959],[5.673739433288574],[0.21971866599997725],"[""zaal_2__IMG_20190323_112045__01.png""]",[0.10697627067565918],[0.3180691599845886],[0.0740102499999864],"[""zaal_S__IMG_20190323_122709__02.png""]",[0.9995621716287215],[1.0],[0.06332024999997543]
199,IMG_20190323_112120.jpg,"[""zaal_2__IMG_20190323_112120__04.png"", ""zaal_R__IMG_20190323_123300__01.png"", ""zaal_2__IMG_20190323_112120__02.png"", ""zaal_2__IMG_20190323_112120__01.png"", ""zaal_2__IMG_20190323_112120__03.png""]","[56.64431381225586, 66.83270263671875, 46.065277099609375, 48.07958221435547, 36.13386154174805]","[62.243133544921875, 69.25858306884766, 53.99937057495117, 49.192970275878906, 47.33302688598633]","[0.058309583000010434, 0.04979716700000836, 0.05326733399999739, 0.052564457999977776, 0.05000400000000127]","[""zaal_2__IMG_20190323_112120__04.png"", ""zaal_R__IMG_20190323_123300__01.png"", ""zaal_2__IMG_20190323_112120__02.png"", ""zaal_2__IMG_20190323_112120__01.png"", ""zaal_2__IMG_20190323_112120__03.png""]","[1522.446533203125, 2047.087646484375, 1440.5841064453125, 1646.8936767578125, 1176.19775390625]","[1644.7578125, 2137.41796875, 1731.9501953125, 1731.2359619140625, 1533.33935546875]","[0.05233195899998577, 0.05462816700000417, 0.05872916600000622, 0.051801917000005915, 0.05062050000000795]","[""zaal_2__IMG_20190323_112120__04.png"", ""zaal_R__IMG_20190323_123300__01.png"", ""zaal_2__IMG_20190323_112120__02.png"", ""zaal_2__IMG_20190323_112120__01.png"", ""zaal_2__IMG_20190323_112120__03.png""]","[56.64431381225586, 66.83270263671875, 46.065277099609375, 48.07958221435547, 36.13386154174805]","[62.243133544921875, 69.25858306884766, 53.99937057495117, 49.192970275878906, 47.33302688598633]","[0.05291708300001119, 0.057465541999988545, 0.055188083999979654, 0.051749833000002354, 0.05155054099998324]","[""zaal_2__IMG_20190323_112120__04.png"", ""Zaal_G__20190323_120524__01.png"", ""zaal_2__IMG_20190323_112130__04.png"", ""zaal_2__IMG_20190323_112113__02.png"", ""zaal_2__IMG_20190323_112120__03.png""]","[5.856076240539551, 6.832656383514404, 4.89381217956543, 4.0465989112854, 2.911306858062744]","[6.909052848815918, 6.85449743270874, 4.96103572845459, 4.315371990203857, 4.961108684539795]","[0.21679941700000427, 0.21960133300001417, 0.21487670799999137, 0.21811254200000008, 0.21546429200000716]","[""zaal_2__IMG_20190323_112120__04.png"", ""zaal_R__IMG_20190323_123300__01.png"", ""zaal_2__IMG_20190323_112120__02.png"", ""zaal_2__IMG_20190323_112120__01.png"", ""zaal_2__IMG_20190323_112120__03.png""]","[0.15529394149780273, 0.4205433130264282, 0.15986794233322144, 0.3069928288459778, 0.1325056552886963]","[0.176963210105896, 0.4337232708930969, 0.22842711210250854, 0.3378562331199646, 0.22203123569488525]","[0.07712095799999474, 0.07601604199999201, 0.07439612499999271, 0.07515495799998462, 0.0744702499999903]","[""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png""]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.06627516699998637, 0.06317979199999968, 0.06328337499999748, 0.06315858299998922, 0.06564845800002672]"
200,20190323_122719.jpg,"[""Zaal_L__20190323_122719__01.png""]",[53.75343322753906],[70.3359146118164],[0.07051470799999038],"[""Zaal_L__20190323_122719__01.png""]",[1538.772705078125],[2074.79736328125],[0.05835058400001003],"[""Zaal_L__20190323_122719__01.png""]",[53.75343322753906],[70.3359146118164],[0.0574269999999899],"[""Zaal_L__20190323_122719__01.png""]",[7.786643981933594],[8.605985641479492],[0.2231388340000251],"[""Zaal_L__20190323_122719__01.png""]",[0.1409299373626709],[0.2749937176704407],[0.07856612500000892],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.0686441670000022]
201,20190323_122914.jpg,"[""Zaal_J__20190323_121834__01.png""]",[35.03811264038086],[35.74855422973633],[0.06347154200000205],"[""Zaal_J__20190323_121834__01.png""]",[1086.824462890625],[1137.543701171875],[0.05838220900000124],"[""Zaal_J__20190323_121834__01.png""]",[35.03811264038086],[35.74855422973633],[0.05817691599997943],"[""zaal_10__IMG_20190323_113938__01.png""]",[3.308952808380127],[3.3242392539978027],[0.2232312909999905],"[""Zaal_J__20190323_121308__01.png""]",[0.2102077603340149],[0.21573257446289062],[0.08040695899998695],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.0684001250000108]
202,20190323_122756.jpg,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
203,20190323_122633.jpg,"[""Zaal_L__20190323_122633__01.png""]",[33.62178039550781],[38.0656852722168],[0.06987233300000639],"[""Zaal_L__20190323_122633__01.png""]",[939.0162353515625],[1108.608642578125],[0.059734750000018266],"[""Zaal_L__20190323_122633__01.png""]",[33.62178039550781],[38.0656852722168],[0.05823641699998916],"[""Zaal_L__20190323_122633__01.png""]",[3.2659456729888916],[3.5310964584350586],[0.22153783400000293],"[""Zaal_L__20190323_122633__01.png""]",[0.13821136951446533],[0.1841716170310974],[0.07976437500002476],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06875191699998595]
204,20190323_122601.jpg,"[""Zaal_J__20190323_121605__01.png""]",[33.7700309753418],[34.309104919433594],[0.071447959000011],"[""Zaal_J__20190323_121605__01.png""]",[1044.6796875],[1059.0499267578125],[0.05795470900000055],"[""Zaal_J__20190323_121605__01.png""]",[33.7700309753418],[34.309104919433594],[0.057814417000003004],"[""Zaal_C__20190323_113006__03.png""]",[3.1490941047668457],[3.2399981021881104],[0.22330650000000674],"[""zaal_11__IMG_20190323_114059__01.png""]",[0.19924336671829224],[0.20393705368041992],[0.0897581249999746],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06872512499998606]
205,20190323_122614.jpg,"[""Zaal_L__20190323_122614__02.png"", ""Zaal_L__20190323_122633__01.png""]","[25.523361206054688, 32.74504852294922]","[30.117246627807617, 32.75897979736328]","[0.06308820799998216, 0.0637996659999942]","[""Zaal_L__20190323_122614__02.png"", ""Zaal_L__20190323_122633__01.png""]","[771.8990478515625, 936.4981689453125]","[879.062744140625, 1005.9448852539062]","[0.052853499999997666, 0.05613920899997993]","[""Zaal_L__20190323_122614__02.png"", ""Zaal_L__20190323_122633__01.png""]","[25.523361206054688, 32.74504852294922]","[30.117246627807617, 32.75897979736328]","[0.05366037500002108, 0.05348649999999111]","[""Zaal_I__20190323_121200__02.png"", ""Zaal_I__20190323_121200__04.png""]","[3.2632460594177246, 3.4107675552368164]","[3.335357666015625, 3.464181423187256]","[0.21779983300001504, 0.21981187500000487]","[""Zaal_L__20190323_122614__02.png"", ""Zaal_L__20190323_122633__01.png""]","[0.0939333438873291, 0.156105637550354]","[0.1352352499961853, 0.1562860608100891]","[0.07571295799999689, 0.07546691699999997]","[""zaal_19__IMG_20190323_121622__09.png"", ""zaal_19__IMG_20190323_121622__09.png""]","[1.0, 1.0]","[1.0, 1.0]","[0.07028129099998637, 0.06438566699998205]"
206,20190323_122825.jpg,"[""Zaal_L__20190323_122825__01.png""]",[26.182153701782227],[31.08722496032715],[0.06930499999998574],"[""Zaal_L__20190323_122825__01.png""]",[770.8196411132812],[905.119384765625],[0.056123958000000584],"[""Zaal_L__20190323_122825__01.png""]",[26.182153701782227],[31.08722496032715],[0.059369750000001886],"[""Zaal_L__20190323_122825__01.png""]",[2.533060312271118],[2.6787314414978027],[0.22215933300000756],"[""Zaal_L__20190323_122825__01.png""]",[0.11627954244613647],[0.16150325536727905],[0.07784970800000224],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.07132874999999217]
207,20190323_122950.jpg,"[""Zaal_L__20190323_122950__01.png""]",[50.22793197631836],[61.198585510253906],[0.08075424999998404],"[""Zaal_L__20190323_122950__01.png""]",[1451.765869140625],[1782.514404296875],[0.06033358299998781],"[""Zaal_L__20190323_122950__01.png""]",[50.22793197631836],[61.198585510253906],[0.08992058300000849],"[""Zaal_L__20190323_122950__01.png""]",[5.36678409576416],[6.1826629638671875],[0.23348979099998246],"[""Zaal_L__20190323_122950__01.png""]",[0.1514260172843933],[0.23002582788467407],[0.08476349999997979],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.077213042000011]
208,20190323_122703.jpg,"[""Zaal_L__20190323_122703__01.png""]",[36.694549560546875],[43.204769134521484],[0.07136791699997502],"[""Zaal_L__20190323_122703__01.png""]",[1018.3890380859375],[1245.4500732421875],[0.05549295800000209],"[""Zaal_L__20190323_122703__01.png""]",[36.694549560546875],[43.204769134521484],[0.05612874999999917],"[""Zaal_L__20190323_122703__01.png""]",[4.198323726654053],[4.325571060180664],[0.22011149999997315],"[""Zaal_L__20190323_122703__01.png""]",[0.12639528512954712],[0.18316960334777832],[0.08008387499998548],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.07099183299999368]
209,20190323_122937.jpg,"[""Zaal_L__20190323_122937__01.png""]",[28.813461303710938],[29.646177291870117],[0.07393833300000097],"[""Zaal_L__20190323_122937__01.png""]",[872.9210205078125],[880.8671264648438],[0.05702737500001831],"[""Zaal_L__20190323_122937__01.png""]",[28.813461303710938],[29.646177291870117],[0.05739995899998007],"[""Zaal_L__20190323_122937__01.png""]",[2.7010631561279297],[2.8864145278930664],[0.22324783300001627],"[""Zaal_L__20190323_122937__01.png""]",[0.14067727327346802],[0.1499677300453186],[0.07904745799999091],"[""zaal_19__IMG_20190323_121622__09.png""]",[1.0],[1.0],[0.06832324999999173]
