,Room,Photo,path,kind
30,Zaal_C,20190323_112836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112836.jpg,TP
31,Zaal_C,20190323_112836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112836.jpg,TP
32,Zaal_C,20190323_112836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112836.jpg,TP
33,Zaal_C,20190323_112836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112836.jpg,TP
34,Zaal_C,20190323_112836,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112836.jpg,TP
35,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
36,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
37,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
38,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
39,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
40,Zaal_C,20190323_112909,/media/robbedec/BACKUP/ugent/master/computervisie/project/data/Computervisie 2020 Project Database/dataset_pictures_msk/Zaal_C/20190323_112909.jpg,TP
